Provinsi,AKS,AHP,ALD
ACEH,84.49,64.94,74.91
SUMATERA UTARA,77.33,60.27,57.52
SUMATERA BARAT,66.59,66.8,90.91
RIAU,86.08,65.4,83.46
JAMBI,82.71,62.98,86.45
SUMATERA SELATAN,80.32,71.39,73.25
BENGKULU,87.61,59.64,72.76
LAMPUNG,68.55,71.64,79.95
KEP. BANGKA BELITUNG,79.12,66.2,92.97
KEP. RIAU,92.66,68.67,69.47
DKI JAKARTA,93.27,84.95,90.86
JAWA BARAT,69.57,71.64,73.01
JAWA TENGAH,73.68,75.46,77.6
DI YOGYAKARTA,96.46,70.54,80.43
JAWA TIMUR,80.51,56.43,81.09
BANTEN,87.42,66.18,76.55
BALI,96.86,69.07,66.9
NUSA TENGGARA BARAT,78.38,62.88,87.21
NUSA TENGGARA TIMUR,90.59,75.61,63.23
KALIMANTAN BARAT,96.84,70.78,77.65
KALIMANTAN TENGAH,92.6,64.98,68.44
KALIMANTAN SELATAN,69.59,83.53,64.59
KALIMANTAN TIMUR,96.13,74.56,76.01
KALIMANTAN UTARA,92.08,65.99,80.28
SULAWESI UTARA,93.18,74.83,67.8
SULAWESI TENGAH,97.93,54.46,82.04
SULAWESI SELATAN,68.4,64.99,70.77
SULAWESI TENGGARA,84.61,53.61,68.92
GORONTALO,86.42,75.89,90.81
SULAWESI BARAT,86.38,61.09,75.45
MALUKU,85.1,66.92,68.29
MALUKU UTARA,84.35,64.88,66.56
PAPUA BARAT,86.33,47.78,53.09
PAPUA,89.32,51.83,53.54
